field_id,crop_type,ndvi_m1,ndwi_m1,evi_m1,ndvi_m2,ndwi_m2,evi_m2,ndvi_m3,ndwi_m3,evi_m3,ndvi_m4,ndwi_m4,evi_m4,ndvi_m5,ndwi_m5,evi_m5,ndvi_m6,ndwi_m6,evi_m6,ndvi_m7,ndwi_m7,evi_m7,ndvi_m8,ndwi_m8,evi_m8,ndvi_m9,ndwi_m9,evi_m9,ndvi_m10,ndwi_m10,evi_m10,ndvi_m11,ndwi_m11,evi_m11,ndvi_m12,ndwi_m12,evi_m12,sar_vh_vv
F_000,Soybean,0.29139699043003553,-0.32013603808681035,0.14201533874272396,0.42214865047479405,-0.5139073079045872,0.2431226306769324,0.41602546935891777,-0.5553563069429179,0.21485627332668006,0.6020660548812153,-0.5000338213228482,0.3285257996670946,0.3524768001750586,-0.4495685664854751,0.1867395472318151,0.4348581270120941,-0.5194803914572481,0.2656619648034329,0.7103652674657611,-0.6201716538115777,0.6379825058406642,0.8228344842947777,-0.5869775302949426,0.8106634486471187,0.36775977467791066,-0.5480765492676941,0.1927116478155216,0.43626260922231996,-0.38344447567327566,0.2511981587012669,0.4368113487658977,-0.246978794213141,0.2558443033901431,0.1293218055119323,-0.19527271554476633,0.06193045164620642,0.34957702399801915
F_001,Paddy,0.4264496618158132,-0.3577078155346946,0.22036276633254945,0.2910927538269196,-0.44540046585061976,0.15853874919072986,0.29135218734251705,-0.5367549602499284,0.1515011494935366,0.20754023433694263,-0.5062232911710576,0.10843106632937174,0.14285084353075256,-0.30295138566789975,0.07013542116787166,0.5257138495634471,-0.5958636562557471,0.35705184608589036,0.7640816570513139,-0.592352512890024,0.7261643638138708,0.806311050176271,-0.6879773673552648,0.8543764285129798,0.8897623292350875,-0.6825605712430356,1.0026238533925194,0.7982254563153391,-0.65542259831789,0.7728558131429695,0.7438770327318021,-0.732995377292909,0.7072050856256704,0.27892897107367076,-0.0985783156686107,0.1429138204538991,0.21279313581080717
F_002,Fallow,0.2526729556889938,-0.36942156896103046,0.1293073653444186,0.44325979925225684,-0.2962047282398304,0.24477413657721614,0.3100928887291979,-0.5780385591426105,0.16563457799708647,0.2705187205982821,-0.37843829643269655,0.1453510207688308,0.4626231739205399,-0.2807993787860942,0.2881318677463756,0.41142540523746335,-0.5729989138712893,0.23645860349200742,0.47073459225411224,-0.48445825517867147,0.332000008158856,0.3574180124070709,-0.273505778020626,0.20761961713464405,0.21369343630610965,-0.4148233308497856,0.10080850768238477,0.3130403231133615,-0.21206961503843383,0.1625977134890632,0.1308818216450301,-0.28874674669125133,0.0610683173278508,0.14608796020518341,-0.6491359155986868,0.07026254552202925,0.37301620351777875
F_003,Soybean,0.3423453171203844,-0.55803287072713,0.20060114739403678,0.438555200616177,-0.4364007294922107,0.2500018492801617,0.34044394920378146,-0.4399952973635134,0.18022942701607425,0.3477772782487559,-0.5398376337276792,0.19018829951319885,0.4379199362214462,-0.4534269707869529,0.27714650340248687,0.40863439947449853,-0.4629155416477306,0.25785693471234494,0.8701527858830072,-0.6385380722712687,0.9837770538968181,0.8610329251528462,-0.7093102454899409,1.0148435894120351,0.5347804442685691,-0.619929024902905,0.3814916589436632,0.12681055487979281,-0.3862522703743367,0.061829489446836756,0.3575409739032407,-0.3796972185893186,0.18386014862099015,0.13757669338086817,-0.31512711345727273,0.0711068398830467,0.3485949201398384
F_004,Cotton,0.28902062060477596,-0.4897636167818209,0.1530376537620869,0.36271317342119136,-0.3346493756220276,0.1856538774309702,0.2390609013137199,-0.40308886771655933,0.12067450151588678,0.32770876810208205,-0.4127368185657736,0.190174523799137,0.4622048783113652,-0.5850064770301536,0.3046838390195961,0.7409755794411014,-0.5962868304106916,0.622134282412722,0.7857148878835756,-0.6710948211743747,0.6416415153543925,0.7680131244094373,-0.8376630473028751,0.7479169540378658,0.7812637562164259,-0.6183311973268404,0.8219894602521824,0.9170025245642208,-0.5597557907101,0.9816980722525993,0.8417440120254168,-0.6233076167156569,0.7348931601135762,0.5196069840462431,-0.5712854199641028,0.3296399668336785,0.4269121671982139
F_005,Sugarcane,0.8411386562143969,-0.5122234541703816,0.651277910432174,0.5859445135889295,-0.5070411390918735,0.42908464162379867,0.9027764914557204,-0.6440394904542109,0.8993189854624875,0.7628861816352747,-0.589473682387914,0.6651793565866937,0.835693686562792,-0.6285959342935966,0.7912824572163466,0.8193419538907734,-0.6030545771595704,0.8615901613834988,0.8668907340159968,-0.6411952302153011,0.9161325583917436,0.8168319810376249,-0.5229639457392674,0.856922206398941,0.8202488895368151,-0.5962871466114695,0.8161697072251055,0.7750590410437794,-0.5827885824531255,0.6744127551801025,0.7532881718745449,-0.6261600420029022,0.5763194987546425,0.5186130505658448,-0.6095461623297918,0.3669067824287108,0.26712855116223755
F_006,Fallow,0.3629471972650867,-0.3585144315866592,0.18487435889856715,0.4398945138124455,-0.44247075283178394,0.2383238506184661,0.11250878150574604,-0.177754692152328,0.05697955930088053,0.39844930524599353,-0.6335608393347578,0.2359921457297368,0.08998580629608559,-0.15972580287501642,0.041892249874347705,0.19617876043178778,-0.4756262542904134,0.10254397377051307,0.20797476420130334,-0.46872694014808297,0.10703671146714577,0.18374180429569478,-0.4086565643625243,0.0863792738793171,0.37647903388980714,-0.43443474861212444,0.2169862735932402,0.3171595266878518,-0.2466500520911267,0.14611489390762145,0.46855267198893197,-0.40163419137177914,0.25523640757915467,0.18855824650174804,-0.8088083825326313,0.10018870352120637,0.3266995163070491
F_007,Fallow,0.3041307717332179,-0.49598423465136765,0.16731042239265487,0.46940377392287475,-0.4787200677320052,0.28516817082376733,0.3834725033730675,-0.6208920236998636,0.2194440743329905,0.6552756043325336,-0.5122277539809941,0.440211868390054,0.27412215480377483,-0.11058850697346209,0.12030338125467728,0.07551770598623987,-0.08394882766480101,0.03165723659895208,0.6462946790590903,-0.6103537826386871,0.37759388028671376,0.24720598655692905,-0.1036211861003719,0.11895410490734057,0.37760011593352605,-0.46674469798298274,0.1993359705074196,0.2824323827817548,-0.6438433243617139,0.16260540290156947,0.09441885688664489,-0.47720401717696437,0.04670506693193453,0.5021433728844256,-0.4950990145447487,0.2456214466899624,0.32252241452632124
F_008,Fallow,0.4498504706750549,-0.49758515685856647,0.2561200226115547,0.12717587624953375,-0.24047088883707585,0.06131852486472761,0.3182000191295328,-0.6203895878587155,0.1992531932474062,0.6588098742224615,-0.43238045058795266,0.4070192553458373,0.3107902883328074,-0.6578768552633852,0.1435807237747411,-0.18725416569681044,-0.18422079701047264,-0.061689116968656005,0.08640128288196972,-0.3628661457508023,0.04253847088550709,0.27557949936747583,-0.4635692407821636,0.14486013611854662,0.3252663185303154,-0.2044475137383709,0.16947147531255768,0.4741948874170789,-0.5196735166835206,0.2637368782509737,0.3086045547036401,-0.2623492833092442,0.15411823334203062,0.2617316167973575,-0.2769686375472335,0.14301352501709588,0.3885994426187297
F_009,Soybean,0.48013309052036984,-0.41447549399083367,0.27290331339256424,0.33478465824364745,-0.5032359796619152,0.21183778187332233,0.35007265259752846,-0.3639181395862899,0.17461413422707392,0.24240399347699323,-0.37020582466015595,0.12692057212988775,0.2350382325560368,-0.44122389249554417,0.1317236179006314,0.5284205384741197,-0.5423940902558748,0.3571366915200918,0.7743910982073193,-0.6970554140289987,0.7459628560860687,0.8771757378157453,-0.6137338772024481,1.0773273809744646,0.6984691106291812,-0.6885275185924171,0.5679344850570057,0.42622851500063347,-0.4126058527400781,0.22064391887480966,0.2539742124694213,-0.34263413816583593,0.12521876297176626,0.28763798349355174,-0.34215072006470243,0.1574646466610717,0.38344870869975695
